Title,Author,Published Year,ISBN,Age Range,Book Format,Current Price,Image
Majas alfabetssånger,Lena Anderson,1992,9789129620986,3-6,"kartonnage, ",111 kr,https://s2.adlibris.com/images/411/majas-alfabetssanger.jpg
Titta skogen!,Åsa Mendel-Hartvig,2017,9789188347411,0-3,"inbunden, ",100 kr,https://s2.adlibris.com/images/28791619/titta-skogen.jpg
Pudlar och Pommes,Pija Lindenbaum,2016,9789188279132,3-6,"inbunden, ",120 kr,https://s1.adlibris.com/images/24994301/pudlar-och-pommes.jpg
Bollar tar semester,Anna Bengtsson,2017,9789150119374,0-3,"inbunden, ",60 kr,https://s1.adlibris.com/images/29270157/bollar-tar-semester.jpg
Barnens dag i Bullerbyn,Astrid Lindgren,1979,9789129403916,3-6,"kartonnage, ",61 kr,https://s1.adlibris.com/images/1291/barnens-dag-i-bullerbyn.jpg
Karius och Baktus,Thorbjörn Egner,1994,9789163831782,3-6,"inbunden, ",96 kr,https://s2.adlibris.com/images/32843/karius-och-baktus.jpg
Äntligen syskon!,Camilla Lundsten,2010,9789129674545,0-3,"board book, ",61 kr,https://s2.adlibris.com/images/67108/antligen-syskon.jpg
Hitta Snickarsmurfen och hans tidsmaskin,Peyo,2016,9789155263089,3-6,"häftad, ",25 kr,https://s1.adlibris.com/images/23606901/hitta-snickarsmurfen-och-hans-tidsmaskin.jpg
Plupp och midnattssolen,Inga Borg,2015,9789172997837,3-6,"inbunden, ",72 kr,https://s1.adlibris.com/images/18082645/plupp-och-midnattssolen.jpg
Insidan ut,-,2015,9789187753701,3-6,"inbunden, ",75 kr,https://s1.adlibris.com/images/15797468/insidan-ut.jpg
Jag är storasyskon nu!,Anthea Simmons,2017,9789129703450,3-6,"inbunden, ",96 kr,https://s1.adlibris.com/images/27810299/jag-ar-storasyskon-nu.jpg
Billy och mormor,Birgitta Stenberg,2015,9789172217072,3-6,"inbunden, ",53 kr,https://s1.adlibris.com/images/14561368/billy-och-mormor.jpg
Vad sa pappa Åberg?,Gunilla Bergström,2007,9789129666113,3-6,"kartonnage, ",59 kr,https://s1.adlibris.com/images/139015/vad-sa-pappa-aberg.jpg
Aldrig mer blöja,Mercé Seix,2013,9789173171694,0-3,"inbunden, ",69 kr,https://s2.adlibris.com/images/641987/aldrig-mer-bloja.jpg
Lilla hunden,Axel Scheffler,2015,9789172217065,0-3,"board book, ",48 kr,https://s1.adlibris.com/images/14561115/lilla-hunden.jpg
Gustav och den snåla glasstanten,Peter Cohen,2009,9789150111750,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/4814/gustav-och-den-snala-glasstanten.jpg
Pixibox Fordon,Flera författare,2012,9789163870477,3-6,"häftad, ",96 kr,https://s2.adlibris.com/images/259852/pixibox-fordon.jpg
"Heja, Pelle Svanslös!",Gösta Knutsson,2016,9789163887000,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/21857871/heja-pelle-svanslos.jpg
Vad gör Pippi?,Astrid Lindgren,2014,9789129692693,0-3,"board book, ",61 kr,https://s2.adlibris.com/images/11364588/vad-gor-pippi.jpg
Här kommer sopbilen : Halvan,Arne Norlin,2004,9789129659672,3-6,"kartonnage, ",61 kr,https://s1.adlibris.com/images/76709/har-kommer-sopbilen-halvan.jpg
Ivar träffar en stegosaurus,Lisa Bjärbo,2016,9789129699340,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/23701691/ivar-traffar-en-stegosaurus.jpg
Här kommer nya polisbilen,Arne Norlin,2016,9789129700930,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/24907526/har-kommer-nya-polisbilen.jpg
Raggar-råttan Roger,Ulf Sindt,2014,9789172216778,3-6,"inbunden, ",48 kr,https://s2.adlibris.com/images/294475/raggar-rattan-roger.jpg
Tuppens minut,Sven Nordqvist,1996,9789172707832,6-9,"inbunden, ",85 kr,https://s2.adlibris.com/images/3251/tuppens-minut.jpg
Kringel,Margret Rey,2006,9789163851919,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/16694482/kringel.jpg
Ut och gå!,Anna-Clara Tidholm,1993,9789177123590,0-3,"inbunden, ",61 kr,https://s1.adlibris.com/images/5439/ut-och-ga.jpg
Djuren i skogen,Sarah Sheppard,2014,9789129691092,3-6,"kartonnage, ",95 kr,https://s1.adlibris.com/images/5755/djuren-i-skogen.jpg
Hitta på!,Anna-Clara Tidholm,1993,9789177123675,0-3,"inbunden, ",61 kr,https://s2.adlibris.com/images/5446/hitta-pa.jpg
"God natt, Alfons Åberg",Gunilla Bergström,2006,9789129665512,3-6,"kartonnage, ",59 kr,https://s1.adlibris.com/images/55490/god-natt-alfons-aberg.jpg
En stjärna vid namn Ajax,Ulf Stark,2016,9789163894381,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/27830410/en-stjarna-vid-namn-ajax.jpg
Sagan om det röda äpplet,Jan Lööf,2004,9789163826733,3-6,"inbunden, ",61 kr,https://s2.adlibris.com/images/32280/sagan-om-det-roda-applet.jpg
Tomtebobarnen,Elsa Beskow,1995,9789163832574,3-6,"inbunden, ",135 kr,https://s1.adlibris.com/images/149492/tomtebobarnen.jpg
Min familj,Anna-Clara Tidholm,2009,9789185827114,3-6,"inbunden, ",111 kr,https://s1.adlibris.com/images/5464/min-familj.jpg
Pixibox: Jan Lööf,Jan Lööf,2015,9789163883620,3-6,"häftad, ",96 kr,https://s2.adlibris.com/images/15740548/pixibox-jan-loof.jpg
Bu och Bä i skogen,Lena Landström,1999,9789129646962,0-3,"kartonnage, ",72 kr,https://s1.adlibris.com/images/4787/bu-och-ba-i-skogen.jpg
Här kommer grävskopan,Arne Norlin,2009,9789129669770,3-6,"kartonnage, ",61 kr,https://s2.adlibris.com/images/76712/har-kommer-gravskopan.jpg
Här kommer mc-polisen,Arne Norlin,2014,9789129691498,3-6,"inbunden, ",61 kr,https://s1.adlibris.com/images/76883/har-kommer-mc-polisen.jpg
